,bedrooms,bathrooms,toilets,parking_space,price,title,town,state,cluster
336,4,5,5,4,75000000,6,100,1,0
337,5,5,6,4,65000000,2,99,16,0
338,5,5,5,4,150000000,2,99,16,2
341,3,4,5,4,250000000,0,149,1,1
344,4,4,5,4,65000000,2,38,10,0
345,4,5,5,4,70000000,0,136,21,0
346,4,4,5,4,67000000,2,99,16,0
348,5,6,6,4,35000000,2,100,1,0
349,4,4,5,4,60000000,6,99,16,0
350,4,4,5,4,60000000,4,99,16,0
351,5,5,5,4,125000000,2,64,16,2
352,5,4,5,4,140000000,2,48,1,2
354,4,4,5,4,62000000,6,99,16,0
355,3,3,4,4,70000000,1,48,1,0
364,5,5,6,4,100000000,2,99,16,2
365,4,4,5,4,45000000,4,10,16,0
368,4,4,5,4,65000000,2,99,16,0
369,3,5,5,4,80000000,2,48,1,0
370,5,5,5,4,200000000,2,99,16,1
372,5,5,5,4,50000000,2,76,16,0
374,4,4,5,4,43000000,6,42,1,0
375,4,5,5,4,45000000,6,100,1,0
377,3,4,4,4,15500000,1,42,1,0
378,4,4,5,4,90000000,2,99,16,0
380,5,5,6,4,150000000,2,64,16,2
382,4,4,5,4,72000000,4,10,16,0
383,4,5,5,4,70000000,2,99,16,0
385,4,6,6,4,65000000,2,10,16,0
388,4,6,6,4,170000000,4,148,1,2
391,6,5,5,4,20000000,1,38,10,0
392,5,6,6,4,270000000,2,99,16,1
396,4,4,5,4,35000000,2,112,18,0
397,4,5,5,4,190000000,6,148,1,2
398,5,5,5,4,130000000,2,32,1,2
401,4,5,5,4,55000000,2,64,16,0
405,4,4,5,4,65000000,2,10,16,0
407,3,3,4,4,35000000,2,140,18,0
408,4,4,5,4,80000000,2,17,18,0
409,4,4,5,4,75000000,6,104,1,0
410,5,5,5,4,6000000,2,68,16,0
412,4,4,5,4,65000000,4,99,16,0
416,4,5,5,4,60000000,2,136,21,0
417,3,3,4,4,35000000,6,101,1,0
419,5,5,6,4,77000000,6,99,16,0
421,4,4,4,4,230000000,4,68,16,1
423,4,4,5,4,65000000,4,99,16,0
424,5,5,6,4,198000000,2,99,16,1
429,5,5,5,4,15000000,1,49,20,0
431,4,5,5,4,45000000,4,49,20,0
433,4,4,5,4,105000000,6,99,16,2
437,4,4,5,4,75000000,2,99,16,0
444,4,4,5,4,80000000,6,64,16,0
446,5,5,5,4,60000000,2,122,16,0
450,4,5,5,4,70000000,6,99,16,0
452,3,4,4,4,130000000,2,64,16,2
453,5,5,5,4,115000000,2,99,16,2
454,5,5,6,4,65000000,2,136,21,0
456,4,5,5,4,35000000,6,100,1,0
457,3,4,4,4,40000000,6,10,16,0
459,4,5,6,4,75000000,2,10,16,0
460,4,4,5,4,70000000,2,10,16,0
461,5,5,5,4,50000000,2,99,16,0
463,5,5,5,4,160000000,2,99,16,2
464,5,5,5,4,150000000,2,99,16,2
465,3,4,6,4,30000000,5,136,21,0
466,5,6,6,4,170000000,2,144,16,2
470,5,5,5,4,200000000,2,64,16,1
473,4,4,5,4,200000000,6,148,1,1
474,4,5,5,4,50000000,6,99,16,0
476,4,5,5,4,85000000,2,99,16,0
480,3,4,4,4,35000000,0,100,1,0
484,4,5,5,4,150000000,4,99,16,2
486,5,5,6,4,120000000,2,99,16,2
491,5,5,5,4,150000000,2,141,16,2
493,5,5,6,4,130000000,2,64,16,2
494,5,5,6,4,185000000,2,99,16,2
495,4,3,4,4,195000000,6,148,1,1
496,4,4,5,4,95000000,2,99,16,0
498,4,4,5,4,75000000,2,99,16,0
499,4,4,5,4,60000000,2,10,16,0
500,4,4,5,4,85000000,2,10,16,0
503,5,5,6,4,75000000,2,122,16,0
508,5,5,5,4,260000000,2,99,16,1
510,4,5,5,4,16000000,0,5,18,0
513,5,5,6,4,106000000,2,99,16,2
514,5,5,6,4,130000000,2,99,16,2
518,4,5,5,4,70000000,2,10,16,0
520,5,5,6,4,155000000,2,99,16,2
521,4,5,5,4,42000000,0,99,16,0
522,4,4,5,4,87000000,4,109,16,0
523,3,4,4,4,3000000,5,57,20,0
524,4,4,5,4,12000000,0,49,20,0
527,4,4,5,4,125000000,6,99,16,2
533,4,5,5,4,250000000,4,99,16,1
536,5,6,5,4,145000000,2,99,16,2
541,3,4,4,4,18000000,1,55,16,0
544,3,4,4,4,35000000,0,149,1,0
545,4,5,5,4,140000000,6,147,1,2
547,4,4,5,4,75000000,2,99,16,0
551,4,5,5,4,15000000,0,71,15,0
554,4,4,5,4,140000000,2,99,16,2
561,4,4,5,4,18000000,3,96,1,0
562,4,5,5,4,250000000,6,68,16,1
563,5,6,7,4,170000000,2,99,16,2
566,3,3,4,4,35000000,1,10,16,0
568,5,5,6,4,120000000,2,99,16,2
569,3,4,4,4,45000000,4,99,16,0
573,5,5,6,4,77000000,2,10,16,0
574,5,5,6,4,300000000,2,99,16,1
576,5,5,6,4,235000000,2,106,16,1
577,5,5,6,4,150000000,2,99,16,2
578,5,5,6,4,155000000,2,99,16,2
580,4,4,5,4,48000000,4,10,16,0
584,5,5,6,4,160000000,2,99,16,2
585,5,4,4,4,80000000,2,99,16,0
590,4,4,5,4,140000000,2,144,16,2
592,4,4,5,4,59000000,6,99,16,0
593,4,4,5,4,61000000,4,99,16,0
594,4,4,5,4,67000000,4,99,16,0
597,5,5,6,4,140000000,2,99,16,2
599,5,5,5,4,80000000,2,76,16,0
600,4,4,5,4,100000000,2,99,16,2
601,4,4,5,4,55000000,4,99,16,0
604,3,3,4,4,18000000,5,65,16,0
607,4,5,5,4,260000000,4,68,3,1
608,4,4,5,4,80000000,2,99,16,0
609,4,4,5,4,120000000,6,144,16,2
610,5,5,6,4,75000000,2,99,16,0
611,5,4,4,4,150000000,2,99,16,2
612,5,5,6,4,170000000,2,106,16,2
613,4,4,5,4,90000000,4,99,16,0
616,5,5,6,4,140000000,2,99,16,2
617,3,5,5,4,65000000,0,99,16,0
618,4,5,5,4,65000000,2,10,16,0
625,5,5,6,4,200000000,2,99,16,1
626,5,5,6,4,155000000,2,99,16,2
627,4,4,5,4,60000000,2,44,16,0
628,4,5,5,4,35000000,2,48,1,0
629,4,4,5,4,90000000,4,99,16,0
631,4,4,5,4,200000000,4,99,16,1
635,5,5,6,4,80000000,2,109,16,0
636,5,5,6,4,110000000,2,99,16,2
639,4,5,5,4,72000000,2,99,16,0
641,5,5,5,4,250000000,2,99,16,1
651,3,3,5,4,22000000,1,55,16,0
653,4,4,5,4,120000000,2,99,16,2
654,4,5,5,4,190000000,6,68,16,2
657,6,6,7,4,280000000,2,89,1,1
659,3,3,4,4,18000000,2,55,16,0
661,4,5,5,4,90000000,4,99,16,0
662,4,5,5,4,20000000,0,138,18,0
663,5,5,6,4,160000000,2,99,16,2
664,3,5,4,4,145000000,0,68,16,2
666,6,5,5,4,120000000,2,42,1,2
674,4,5,5,4,63000000,1,42,1,0
675,4,5,5,4,175000000,6,99,16,2
676,5,5,5,4,80000000,2,99,16,0
678,4,4,5,4,50000000,1,136,21,0
679,4,5,6,4,77000000,6,47,1,0
680,5,5,6,4,55000000,2,9,16,0
682,4,5,5,4,140000000,2,64,16,2
683,5,5,6,4,170000000,2,99,16,2
685,4,5,5,4,240000000,2,99,16,1
688,5,5,6,4,85000000,2,64,16,0
689,5,5,6,4,120000000,2,99,16,2
692,4,5,5,4,90000000,2,48,1,0
695,5,5,5,4,280000000,2,99,16,1
698,4,5,5,4,140000000,2,99,16,2
700,5,5,6,4,160000000,2,99,16,2
703,3,5,5,4,26000000,1,10,16,0
704,5,5,6,4,140000000,2,99,16,2
705,4,5,5,4,55000000,6,49,20,0
706,4,5,6,4,181198248,4,107,1,2
708,5,5,5,4,180000000,2,64,16,2
710,5,5,6,4,130000000,2,99,16,2
713,5,5,6,4,175000000,2,99,16,2
714,4,4,5,4,55000000,2,99,16,0
717,4,4,5,4,61000000,4,99,16,0
719,4,5,5,4,15000000,0,59,16,0
721,4,4,4,4,11000000,1,65,16,0
730,5,5,5,4,27000000,2,59,16,0
732,4,4,5,4,125000000,4,144,16,2
735,5,6,7,4,65000000,2,99,16,0
737,5,5,6,4,25000000,2,49,20,0
741,5,6,7,4,230000000,2,99,16,1
742,4,4,5,4,74000000,4,99,16,0
743,4,4,5,4,140000000,6,144,16,2
744,5,5,6,4,130000000,2,64,16,2
748,4,4,5,4,95000000,2,99,16,0
749,4,4,5,4,30000000,1,55,16,0
752,4,5,5,4,85000000,2,17,18,0
753,5,5,5,4,10000000,1,83,12,0
759,3,3,4,4,48000000,0,99,16,0
760,4,4,5,4,75000000,4,99,16,0
761,4,5,5,4,45000000,6,85,1,0
764,5,5,5,4,250000000,2,99,16,1
765,5,5,6,4,150000000,2,99,16,2
770,4,3,4,4,25000000,1,44,16,0
772,5,6,7,4,200000000,2,99,16,1
773,4,4,5,4,120000000,1,99,16,2
775,4,5,5,4,35000000,0,126,8,0
779,4,4,5,4,19500000,4,105,18,0
781,4,5,5,4,130000000,4,99,16,2
787,5,6,7,4,170000000,2,99,16,2
790,4,4,5,4,70000000,2,99,16,0
792,4,4,5,4,33000000,4,10,16,0
794,4,4,5,4,65000000,4,99,16,0
798,4,5,5,4,65000000,2,99,16,0
801,4,4,5,4,63000000,2,101,1,0
804,5,5,6,4,62990000,4,99,16,0
805,4,5,5,4,140000000,4,100,1,2
807,4,4,5,4,36500000,4,94,1,0
809,5,5,6,4,125000000,2,99,16,2
815,4,5,5,4,80000000,2,99,16,0
816,5,5,5,4,250000000,2,99,16,1
817,5,5,6,4,165000000,2,99,16,2
820,5,5,5,4,140000000,4,99,16,2
821,4,4,5,4,182000000,6,144,16,2
822,4,4,5,4,78000000,2,99,16,0
823,4,4,5,4,280000000,2,68,16,1
824,3,5,5,4,13500000,1,49,20,0
825,4,4,5,4,50000000,4,10,16,0
826,4,4,5,4,280000000,2,68,16,1
827,3,5,5,4,25000000,1,55,16,0
832,4,5,5,4,85000000,6,47,1,0
836,3,3,5,4,33000000,4,55,16,0
838,5,5,5,4,71000000,2,136,21,0
842,5,5,6,4,95000000,2,99,16,0
844,5,5,5,4,65000000,2,67,16,0
846,4,4,5,4,150000000,6,99,16,2
847,4,5,5,4,85000000,2,99,16,0
848,5,5,6,4,300000000,2,99,16,1
851,4,4,5,4,200000000,4,48,1,1
852,5,5,6,4,120000000,2,99,16,2
853,4,4,5,4,75000000,2,48,1,0
856,4,5,5,4,150000000,0,126,8,2
858,5,5,5,4,110000000,2,99,16,2
859,4,5,5,4,70000000,1,141,16,0
860,5,5,6,4,250000000,2,99,16,1
863,3,3,4,4,150000000,0,68,16,2
866,5,5,6,4,120000000,2,10,16,2
867,5,4,4,4,65000000,2,64,16,0
878,4,4,5,4,55000000,4,10,16,0
879,3,5,5,4,45000000,2,10,16,0
884,4,5,5,4,65000000,6,99,16,0
889,4,4,5,4,160000000,4,48,1,2
892,5,6,6,4,130000000,2,89,1,2
894,4,5,5,4,58000000,2,99,16,0
895,4,5,5,4,36000000,4,110,1,0
897,3,3,4,4,18000000,1,103,1,0
898,5,5,6,4,120000000,2,99,16,2
899,4,4,5,4,48000000,4,99,16,0
900,4,4,5,4,50000000,1,55,16,0
908,5,5,6,4,195000000,2,99,16,1
909,4,4,5,4,80000000,2,10,16,0
912,5,5,6,4,125000000,2,99,16,2
914,5,5,6,4,130000000,2,99,16,2
915,4,4,5,4,58000000,6,99,16,0
917,4,4,5,4,90000000,2,99,16,0
918,3,3,4,4,85000000,0,99,16,0
919,5,5,6,4,170000000,2,99,16,2
921,3,5,5,4,300000000,0,32,1,1
923,4,4,5,4,68000000,4,99,16,0
924,4,4,5,4,120000000,6,47,1,2
925,5,6,6,4,130000000,2,99,16,2
926,5,5,5,4,30000000,2,126,8,0
927,4,5,5,4,50000000,0,76,16,0
928,3,3,4,4,42000000,6,99,16,0
936,3,3,4,4,30000000,3,26,1,0
938,5,5,6,4,70000000,2,10,16,0
945,5,5,6,4,70000000,4,47,1,0
948,4,4,5,4,90000000,2,64,16,0
953,3,5,4,4,10500000,1,111,18,0
954,3,5,5,4,40000000,0,10,16,0
955,5,5,6,4,100000000,2,48,1,2
958,5,5,6,4,280000000,2,68,16,1
961,5,6,7,4,140000000,2,99,16,2
962,6,6,7,4,40000000,2,106,16,0
963,4,4,5,4,70000000,6,100,1,0
964,4,4,5,4,61000000,4,99,16,0
968,4,5,5,4,53000000,2,49,20,0
969,5,6,6,4,160000000,2,48,1,2
970,3,3,4,4,35000000,1,99,16,0
971,4,4,5,4,45000000,2,101,1,0
972,5,5,6,4,120000000,2,64,16,2
973,5,5,6,4,95000000,2,99,16,0
975,3,5,5,4,12500000,1,59,16,0
976,4,4,5,4,80000000,2,99,16,0
977,4,4,5,4,95000000,6,47,1,0
978,4,4,5,4,100000000,6,149,1,2
984,4,4,6,4,50000000,2,99,16,0
985,4,4,5,4,75000000,6,100,1,0
987,4,4,5,4,76000000,2,99,16,0
990,5,5,6,4,90000000,2,99,16,0
991,5,5,6,4,70000000,2,10,16,0
998,4,4,5,4,260000000,4,68,16,1
1002,4,4,5,4,67000000,4,99,16,0
1010,4,5,6,4,90000000,6,78,1,0
1011,4,5,5,4,72000000,4,99,16,0
1012,5,5,5,4,90000000,2,99,16,0
1019,4,5,5,4,45000000,0,13,16,0
1020,5,5,5,4,220000000,2,89,1,1
1021,4,5,5,4,60000000,4,99,16,0
1024,5,5,5,4,190000000,2,68,16,2
1025,4,5,5,4,65000000,2,10,16,0
1026,4,5,6,4,80000000,2,99,16,0
1029,5,5,6,4,90000000,2,99,16,0
1031,4,4,5,4,76000000,4,99,16,0
1033,4,5,5,4,45000000,2,10,16,0
1036,4,4,5,4,58000000,6,99,16,0
1039,3,5,5,4,21000000,0,100,1,0
1041,4,5,5,4,90000000,2,99,16,0
1043,5,5,6,4,100000000,2,99,16,2
1045,4,4,5,4,280000000,2,68,16,1
1046,5,5,6,4,85000000,2,99,16,0
1047,5,5,6,4,120000000,2,99,16,2
1053,4,5,5,4,1750000,0,68,16,0
1055,3,3,4,4,35000000,4,77,1,0
1056,3,3,4,4,50000000,6,149,1,0
1058,5,5,6,4,250000000,2,99,16,1
1059,5,5,6,4,125000000,2,99,16,2
1062,5,5,5,4,150000000,2,99,16,2
1063,5,5,6,4,90000000,2,99,16,0
1064,4,3,4,4,32000000,1,94,1,0
1066,3,6,6,4,22000000,1,65,16,0
1068,4,4,5,4,140000000,6,99,16,2
1069,5,5,6,4,150000000,2,99,16,2
1071,5,5,6,4,175000000,2,64,16,2
1073,4,4,5,4,70000000,2,10,16,0
1075,4,5,5,4,150000000,2,48,1,2
1077,4,4,5,4,135000000,4,144,16,2
1080,4,4,4,4,180000000,2,99,16,2
1082,5,5,6,4,85000000,4,99,16,0
1083,4,5,5,4,31000000,1,55,16,0
1087,5,6,7,4,135000000,2,99,16,2
1088,4,5,5,4,230000000,2,99,16,1
1089,4,5,5,4,30000000,2,101,1,0
1091,5,5,6,4,100000000,2,99,16,2
1093,4,4,5,4,70000000,2,99,16,0
1094,3,3,4,4,12000000,1,55,16,0
1099,4,5,5,4,150000000,2,100,1,2
1100,5,5,6,4,230000000,2,99,16,1
1108,5,5,6,4,235000000,2,106,16,1
1110,4,4,4,4,65000000,6,99,16,0
1114,4,5,5,4,75000000,6,19,1,0
1116,4,5,5,4,65000000,2,10,16,0
1118,4,5,5,4,80000000,6,64,16,0
1120,5,5,6,4,140000000,4,99,16,2
1121,5,5,6,4,80000000,2,10,16,0
1122,4,5,5,4,80000000,2,99,16,0
1123,5,5,5,4,90000000,2,99,16,0
1124,5,5,5,4,270000000,2,99,16,1
1129,4,3,5,4,22000000,3,49,20,0
1130,5,5,5,4,320000000,2,99,16,1
1142,4,4,4,4,22000000,0,138,18,0
1144,5,5,6,4,300000000,2,43,1,1
1145,5,5,6,4,130000000,2,99,16,2
1146,4,4,5,4,59000000,2,10,16,0
1150,5,5,6,4,120000000,2,99,16,2
1152,5,5,6,4,230000000,4,144,16,1
1153,4,4,5,4,65000000,6,99,16,0
1158,4,4,5,4,55000000,6,99,16,0
1159,5,5,6,4,120000000,2,99,16,2
1162,5,5,6,4,135000000,2,99,16,2
1163,5,6,6,4,250000000,2,136,21,1
1164,4,4,5,4,280000000,2,68,16,1
1168,4,4,5,4,200000000,2,68,16,1
1169,3,3,4,4,28000000,1,105,18,0
1172,5,6,6,4,250000000,2,99,16,1
1173,4,4,6,4,100000000,4,144,16,2
1175,3,3,4,4,45000000,4,99,16,0
1180,5,5,5,4,180000000,2,42,1,2
1182,4,4,5,4,135000000,4,99,16,2
1185,4,5,5,4,30000000,0,0,0,0
1186,3,4,4,4,40000000,6,99,16,0
1193,5,5,6,4,265000000,4,99,16,1
1194,5,6,6,4,85000000,2,99,16,0
1195,5,6,6,4,300000000,2,99,16,1
1196,5,5,6,4,35000000,2,42,1,0
1198,4,5,5,4,65000000,4,99,16,0
1201,4,5,5,4,200000000,2,106,16,1
1202,4,4,5,4,120000000,6,89,1,2
1203,3,3,4,4,15000000,1,122,16,0
1204,4,4,5,4,65000000,4,99,16,0
1205,5,5,6,4,135000000,2,99,16,2
1206,4,5,5,4,120000000,6,47,1,2
1209,4,4,5,4,61000000,4,99,16,0
1211,5,5,6,4,270000000,2,99,16,1
1212,4,4,5,4,45000000,2,10,16,0
1216,4,4,5,4,150000000,6,68,16,2
1217,4,5,5,4,65000000,0,141,16,0
1219,5,6,6,4,300000000,2,99,16,1
1221,4,4,5,4,57000000,4,99,16,0
1223,5,5,6,4,75000000,2,99,16,0
1224,5,5,6,4,155000000,2,99,16,2
1225,4,4,5,4,58000000,4,99,16,0
1229,4,5,5,4,235000000,4,68,16,1
1230,5,5,6,4,145000000,2,99,16,2
1236,5,5,6,4,80000000,2,99,16,0
1237,3,3,4,4,50000000,0,38,10,0
1238,5,5,6,4,145000000,2,99,16,2
1240,5,5,6,4,160000000,2,99,16,2
